# Maximum Current (% rated),Time to trip (s)
max_current,trip_time
1.293159609,500.0000000
1.298588491,384.6153846
1.320304017,244.7019868
1.352877307,206.2913907
1.385450597,177.8145695
1.396308360,169.2052980
1.445168295,144.0397351
1.494028230,124.8344371
1.532030402,116.8874172
1.646036916,94.37086093
1.754614549,69.20529801
1.868621064,48.15789474
1.982627579,41.71052632
2.112920738,33.15789474
2.156351792,30.26315789
2.216069490,28.37696335
2.275787188,26.49214660
2.368078176,23.19371728
2.416938111,21.04712042
2.449511401,19.78082192
2.525515744,18.32876712
2.612377850,16.98630137
2.666666667,16.16438356
2.737242128,15.28767123
2.845819761,13.97260274
2.981541802,12.60273973
3.166123779,11.04109589
3.307274701,10.02739726
3.453854506,9.068493151
3.660152009,7.917808219
3.882736156,6.849315068
4.061889251,6.164383562
4.257328990,5.479452055
4.458197611,4.849315068
4.669923996,4.383561644
4.897937025,3.890410959
5.077090119,3.616438356
5.283387622,3.068493151
5.543973941,3.123287671
5.717698154,3.041095890
5.945711183,3.041095890
